SRR8926088_1.fastq	13-6929817_1.fastq
SRR8926089_1.fastq	13-6929803_1.fastq
SRR8926090_1.fastq	13-6929824_1.fastq
SRR8926091_1.fastq	13-6929823_1.fastq
SRR8926092_1.fastq	13-6929827_1.fastq
SRR8926093_1.fastq	13-6929826_1.fastq
SRR8926094_1.fastq	13-6929829_1.fastq
SRR8926095_1.fastq	13-6929828_1.fastq
SRR8926096_1.fastq	13-6929831_1.fastq
SRR8926097_1.fastq	13-6929830_1.fastq
SRR8926098_1.fastq	13-6929745_1.fastq
SRR8926099_1.fastq	13-6929744_1.fastq
SRR8926100_1.fastq	13-6929748_1.fastq
SRR8926101_1.fastq	13-6929746_1.fastq
SRR8926102_1.fastq	13-6929750_1.fastq
SRR8926103_1.fastq	13-6929749_1.fastq
SRR8926104_1.fastq	13-6929540_1.fastq
SRR8926105_1.fastq	13-6929528_1.fastq
SRR8926106_1.fastq	13-6929958_1.fastq
SRR8926107_1.fastq	13-6929957_1.fastq
SRR8926108_1.fastq	13-6929962_1.fastq
SRR8926109_1.fastq	13-6929959_1.fastq
SRR8926110_1.fastq	13-6929964_1.fastq
SRR8926111_1.fastq	13-6929963_1.fastq
SRR8926112_1.fastq	13-6929526_1.fastq
SRR8926113_1.fastq	13-6929965_1.fastq
SRR8926114_1.fastq	13-6929527_1.fastq
SRR8926115_1.fastq	13-6929529_1.fastq
SRR8926116_1.fastq	13-6929524_1.fastq
SRR8926117_1.fastq	13-6929525_1.fastq
SRR8926118_1.fastq	13-6929532_1.fastq
SRR8926119_1.fastq	13-6929534_1.fastq
SRR8926120_1.fastq	13-6929530_1.fastq
SRR8926122_1.fastq	13-6929535_1.fastq
SRR8926123_1.fastq	13-6929536_1.fastq
SRR8926124_1.fastq	13-6929587_1.fastq
SRR8926125_1.fastq	13-6929588_1.fastq
SRR8926126_1.fastq	13-6929590_1.fastq
SRR8926127_1.fastq	13-6929598_1.fastq
SRR8926128_1.fastq	13-6929575_1.fastq
SRR8926129_1.fastq	13-6929581_1.fastq
SRR8926130_1.fastq	13-6929584_1.fastq
SRR8926131_1.fastq	13-6929585_1.fastq
SRR8926132_1.fastq	13-6929752_1.fastq
SRR8926133_1.fastq	13-6929742_1.fastq
SRR8926134_1.fastq	13-6929618_1.fastq
